model,accuracy,precision_yes,recall_yes,f1_yes
Decision Tree,0.8994802609753401,0.6498993963782697,0.3052930056710775,0.4154340836012862
Random Forest,0.8969368572376424,0.771551724137931,0.16918714555765596,0.2775193798449612
